Topic	Subtopic	URL
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/TOPOSORTDEF
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/TOPOSORTDFS
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/TOPOSORTBFS
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/GRAPHMCQ15
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/GRAPHMCQ16
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/GRAPHMCQ17
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/TOPOSORTCS
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/GETANCESTORS
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ195
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ196
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ197
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ198
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ199
Graph Fundamentals & Traversal	Flow Network	https://www.codechef.com/learn/course/thapar-daa-2026/FLOWNETWORK/problems/FLOWNETMIN
Graph Fundamentals & Traversal	Flow Network	https://www.codechef.com/learn/course/thapar-daa-2026/FLOWNETWORK/problems/MAXFLOW2
Graph Fundamentals & Traversal	Flow Network	https://www.codechef.com/learn/course/thapar-daa-2026/FLOWNETWORK/problems/MAXFLOWMCQ
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/GERALD07
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/HBJRG01
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/QM20A
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/ICPC16F
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/EKMPU01
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/SZICS01
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/DGAFK01
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/HYBDD01
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/XGWUY01
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/KXTUW01
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/CHEFSERVER
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ208
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ209
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ210
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ211
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ212
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ213
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ214
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ215
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ216
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ217
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ218
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ219
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ220
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ221
Branch and Bound	Assignment problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA50/problems/MDDYQ222
Branch and Bound	Assignment problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA50/problems/MDDYQ223
Branch and Bound	Assignment problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA50/problems/MDDYQ224
Branch and Bound	Assignment problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA50/problems/MDDYQ225
Branch and Bound	Assignment problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA50/problems/MDDYQ226
Branch and Bound	Assignment problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA50/problems/MDDYQ227
String matching algorithms	Boyer-Moore Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/BOYERMOORE1/problems/PATMAT01C
String matching algorithms	Boyer-Moore Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/BOYERMOORE1/problems/PATMAT01CA
String matching algorithms	Boyer-Moore Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/BOYERMOORE1/problems/PATMAT01
String matching algorithms	Boyer-Moore Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/BOYERMOORE1/problems/BOYERMOORE2
String matching algorithms	Rabin Karp Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/RABINKARP/problems/RABINKARP1
String matching algorithms	Rabin Karp Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/RABINKARP/problems/RABINKARP2
String matching algorithms	Rabin Karp Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/RABINKARP/problems/RABINKARP3
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP01
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP02
