Topic	Subtopic	URL	Problem Title
Graph Fundamentals & Traversal	BFS	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA32/problems/DAA114	Analysis
Graph Fundamentals & Traversal	BFS	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA32/problems/REVERSE	Chef
Graph Fundamentals & Traversal	BFS	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA32/problems/DIGJUMP	Chef
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/TOPOSORTDEF	Basic
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/TOPOSORTDFS	Topological
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/TOPOSORTBFS	Topological
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/GRAPHMCQ15	Topological
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/GRAPHMCQ16	Topological
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/GRAPHMCQ17	Topological
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/TOPOSORTCS	Find
Graph Fundamentals & Traversal	Topological sorting	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA33/problems/GETANCESTORS	Get
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ195	Hamiltonian
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ196	MCQ
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ197	Satisfying
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ198	Hamiltonian
Graph Fundamentals & Traversal	Hamiltonian Circuit Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA46/problems/MDDYQ199	Algorithm
Graph Fundamentals & Traversal	Flow Network	https://www.codechef.com/learn/course/thapar-daa-2026/FLOWNETWORK/problems/FLOWNETMIN	Flow
Graph Fundamentals & Traversal	Flow Network	https://www.codechef.com/learn/course/thapar-daa-2026/FLOWNETWORK/problems/MAXFLOW2	Maximum
Graph Fundamentals & Traversal	Flow Network	https://www.codechef.com/learn/course/thapar-daa-2026/FLOWNETWORK/problems/MAXFLOWMCQ	MCQ
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/GERALD07	Chef
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/HBJRG01	Chef
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/QM20A	One
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/ICPC16F	Chef
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/EKMPU01	Chef
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/SZICS01	Chef
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/DGAFK01	Chef
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/HYBDD01	Chef
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/XGWUY01	Chef
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/KXTUW01	Chef
Graph Fundamentals & Traversal	Practice problems	https://www.codechef.com/learn/course/thapar-daa-2026/GRAPHPRACTIC/problems/CHEFSERVER	Chef
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ208	Branch
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ209	Knapsack
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ210	Branch
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ211	Example
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ212	Bound
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ213	Algorithm
Branch and Bound	Knapsack Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA48/problems/MDDYQ214	Knapsack
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ215	Travelling
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ216	Generating
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ217	Expansion
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ218	Calculating
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ219	Upper
Branch and Bound	Traveling Salesman Problem	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA49/problems/MDDYQ220	Pseudo
